Current (A),Voltage (V),Electron current (pA)
-1.161E-14,0.021,0.012
-1.034E-14,0.021,0.010
-4.211E-15,0.017,0.004
-2.783E-15,0.019,0.003
-6.519E-15,0.019,0.007
-5.896E-15,0.020,0.006
-1.587E-16,0.019,1.587E-4
-9.766E-17,0.020,9.766E-5
-7.031E-15,0.018,0.007
-6.482E-15,0.018,0.006
-7.190E-15,0.017,0.007
-1.562E-15,0.021,0.002
-7.532E-15,0.018,0.008
-3.955E-15,0.017,0.004
-3.271E-15,0.014,0.003
-1.917E-15,0.017,0.002
1.221E-15,0.019,-0.001
-3.564E-15,0.018,0.004
-2.942E-15,0.018,0.003
-2.612E-15,0.019,0.003
-4.907E-15,0.016,0.005
-5.371E-15,0.016,0.005
-4.590E-15,0.016,0.005
-4.749E-15,0.017,0.005
-4.382E-15,0.017,0.004
-2.393E-15,0.016,0.002
1.086E-15,0.016,-0.001
2.576E-15,0.016,-0.003
-2.917E-15,0.016,0.003
-4.932E-15,0.017,0.005
-6.494E-15,0.016,0.006
-3.357E-15,0.016,0.003
-7.690E-16,0.015,7.690E-4
-5.750E-15,0.015,0.006
-6.592E-16,0.020,6.592E-4
-8.179E-16,0.016,8.179E-4
2.441E-17,0.015,-2.441E-5
3.540E-16,0.014,-3.540E-4
1.563E-15,0.015,-0.002
-1.819E-15,0.015,0.002
3.296E-16,0.015,-3.296E-4
2.490E-15,0.015,-0.002
-5.127E-16,0.020,5.127E-4
-2.087E-15,0.041,0.002
3.174E-16,0.077,-3.174E-4
4.639E-15,0.157,-0.005
-2.441E-17,0.245,2.441E-5
-5.945E-15,0.302,0.006
-4.089E-15,0.334,0.004
-3.870E-15,0.393,0.004
-1.172E-15,0.451,0.001
1.843E-15,0.506,-0.002
2.344E-15,0.566,-0.002
2.686E-16,0.659,-2.686E-4
-3.711E-15,0.736,0.004
-4.749E-15,0.832,0.005
-8.020E-15,0.890,0.008
-1.281E-14,0.920,0.013
-1.401E-14,0.964,0.014
-1.436E-14,1.012,0.014
-1.643E-14,1.052,0.016
-2.318E-14,1.092,0.023
-2.590E-14,1.150,0.026
-2.665E-14,1.226,0.027
-2.810E-14,1.282,0.028
-2.706E-14,1.324,0.027
-3.126E-14,1.357,0.031
-2.661E-14,1.421,0.027
-2.831E-14,1.480,0.028
-2.924E-14,1.542,0.029
-2.620E-14,1.606,0.026
-2.531E-14,1.664,0.025
-2.877E-14,1.704,0.029
-2.736E-14,1.740,0.027
-2.921E-14,1.772,0.029
-3.029E-14,1.818,0.030
-2.595E-14,1.881,0.026
-2.130E-14,1.943,0.021
-2.394E-14,2.007,0.024
-2.615E-14,2.078,0.026
-2.590E-14,2.134,0.026
-2.518E-14,2.184,0.025
-2.518E-14,2.246,0.025
-2.655E-14,2.317,0.027
-2.953E-14,2.370,0.030
-2.408E-14,2.420,0.024
-2.783E-14,2.524,0.028
-3.115E-14,2.667,0.031
-2.642E-14,2.743,0.026
-2.998E-14,2.775,0.030
-2.694E-14,2.820,0.027
-2.600E-14,2.852,0.026
-2.552E-14,2.917,0.026
-2.512E-14,2.997,0.025
-2.650E-14,3.042,0.027
-2.246E-14,3.081,0.022
-2.888E-14,3.122,0.029
-2.103E-14,3.145,0.021
-2.969E-14,3.179,0.030
-2.809E-14,3.198,0.028
-3.075E-14,3.217,0.031
-2.897E-14,3.238,0.029
-3.263E-14,3.254,0.033
-3.402E-14,3.266,0.034
-3.322E-14,3.286,0.033
-3.336E-14,3.305,0.033
-2.898E-14,3.328,0.029
-3.170E-14,3.366,0.032
-3.241E-14,3.387,0.032
-3.453E-14,3.406,0.035
-3.206E-14,3.441,0.032
-3.149E-14,3.480,0.031
-3.051E-14,3.503,0.031
-3.015E-14,3.535,0.030
-2.932E-14,3.563,0.029
-2.869E-14,3.577,0.029
-3.192E-14,3.582,0.032
-2.992E-14,3.585,0.030
-2.711E-14,3.585,0.027
-2.955E-14,3.593,0.030
-2.850E-14,3.586,0.029
-2.729E-14,3.586,0.027
-2.605E-14,3.586,0.026
-2.588E-14,3.586,0.026
-2.832E-14,3.587,0.028
-2.621E-14,3.587,0.026
-2.947E-14,3.580,0.029
-2.961E-14,3.588,0.030
-2.534E-14,3.587,0.025
-2.373E-14,3.590,0.024
-3.102E-14,3.595,0.031
-2.794E-14,3.613,0.028
-2.913E-14,3.623,0.029
-2.794E-14,3.634,0.028
-2.932E-14,3.649,0.029
-2.925E-14,3.670,0.029
-3.468E-14,3.711,0.035
-3.503E-14,3.741,0.035
-3.279E-14,3.763,0.033
-3.114E-14,3.782,0.031
-3.467E-14,3.803,0.035
-3.019E-14,3.825,0.030
-3.303E-14,3.870,0.033
-3.613E-14,3.925,0.036
-3.511E-14,3.974,0.035
-3.649E-14,4.032,0.036
-3.434E-14,4.081,0.034
-3.599E-14,4.111,0.036
-3.475E-14,4.138,0.035
-3.418E-14,4.170,0.034
-3.083E-14,4.204,0.031
-3.370E-14,4.230,0.034
-3.171E-14,4.232,0.032
-3.513E-14,4.235,0.035
-3.699E-14,4.237,0.037
-3.595E-14,4.264,0.036
-3.707E-14,4.315,0.037
-3.519E-14,4.364,0.035
-3.744E-14,4.411,0.037
-3.619E-14,4.460,0.036
-3.365E-14,4.525,0.034
-3.447E-14,4.577,0.034
-3.038E-14,4.609,0.030
-3.250E-14,4.646,0.032
-2.955E-14,4.718,0.030
-2.948E-14,4.806,0.029
-3.068E-14,4.889,0.031
-3.171E-14,4.943,0.032
-2.618E-14,4.980,0.026
-2.638E-14,5.005,0.026
-2.404E-14,5.024,0.024
-2.266E-14,5.038,0.023
-2.275E-14,5.047,0.023
-2.189E-14,5.052,0.022
-2.635E-14,5.059,0.026
-2.236E-14,5.069,0.022
-1.998E-14,5.073,0.020
-2.332E-14,5.071,0.023
-1.724E-14,5.071,0.017
-2.340E-14,5.073,0.023
-2.451E-14,5.074,0.025
-2.240E-14,5.073,0.022
-2.500E-14,5.075,0.025
-2.462E-14,5.069,0.025
-1.957E-14,5.068,0.020
-2.655E-14,5.075,0.027
-2.782E-14,5.072,0.028
-2.590E-14,5.075,0.026
-2.794E-14,5.073,0.028
-2.700E-14,5.073,0.027
-2.646E-14,5.074,0.026
-3.063E-14,5.073,0.031
-3.031E-14,5.072,0.030
-2.751E-14,5.074,0.028
-2.458E-14,5.073,0.025
-2.385E-14,5.071,0.024
-2.365E-14,5.072,0.024
-3.011E-14,5.074,0.030
-3.077E-14,5.076,0.031
-3.081E-14,5.071,0.031
-2.966E-14,5.070,0.030
-2.594E-14,5.073,0.026
-2.638E-14,5.068,0.026
-3.038E-14,5.074,0.030
-2.050E-14,5.072,0.020
-2.156E-14,5.074,0.022
-1.792E-14,5.072,0.018
-1.980E-14,5.072,0.020
-1.558E-14,5.074,0.016
-2.141E-14,5.079,0.021
-2.462E-14,5.075,0.025
-2.180E-14,5.074,0.022
-1.936E-14,5.072,0.019
-2.140E-14,5.076,0.021
-1.672E-14,5.074,0.017
-1.667E-14,5.073,0.017
-2.258E-14,5.073,0.023
-2.372E-14,5.072,0.024
-2.223E-14,5.075,0.022
-2.275E-14,5.074,0.023
-2.502E-14,5.076,0.025
-2.452E-14,5.073,0.025
-2.257E-14,5.073,0.023
-2.306E-14,5.082,0.023
-2.256E-14,5.071,0.023
-2.743E-14,5.071,0.027
-2.323E-14,5.072,0.023
-2.034E-14,5.073,0.020
-2.007E-14,5.090,0.020
-2.196E-14,5.165,0.022
-1.643E-14,5.215,0.016
-1.683E-14,5.233,0.017
-1.499E-14,5.273,0.015
-1.366E-14,5.291,0.014
-1.797E-14,5.297,0.018
-2.258E-14,5.298,0.023
-1.766E-14,5.300,0.018
-1.847E-14,5.301,0.018
-1.646E-14,5.317,0.016
-1.871E-14,5.331,0.019
-1.516E-14,5.340,0.015
-1.721E-14,5.337,0.017
