Current (A);Voltage (V);Electron current (pA) Run #20
-3.461E-14;0.050;0.035
-3.108E-14;0.054;0.031
-2.996E-14;0.052;0.030
-2.451E-14;0.052;0.025
-2.842E-14;0.050;0.028
-2.556E-14;0.051;0.026
-2.478E-14;0.051;0.025
-2.480E-14;0.048;0.025
-2.450E-14;0.050;0.024
-2.671E-14;0.051;0.027
-2.374E-14;0.051;0.024
-1.923E-14;0.052;0.019
-2.064E-14;0.051;0.021
-1.946E-14;0.054;0.019
-1.901E-14;0.054;0.019
-2.563E-14;0.055;0.026
-2.625E-14;0.085;0.026
-2.628E-14;0.141;0.026
-2.438E-14;0.201;0.024
-2.634E-14;0.276;0.026
-2.549E-14;0.349;0.025
-2.559E-14;0.417;0.026
-2.534E-14;0.469;0.025
-2.286E-14;0.501;0.023
-2.476E-14;0.575;0.025
-2.310E-14;0.660;0.023
-2.075E-14;0.735;0.021
-2.594E-14;0.815;0.026
-2.559E-14;0.907;0.026
-2.689E-14;1.009;0.027
-2.930E-14;1.098;0.029
-2.424E-14;1.174;0.024
-2.234E-14;1.262;0.022
-2.157E-14;1.371;0.022
-2.144E-14;1.483;0.021
-1.877E-14;1.586;0.019
-2.412E-14;1.699;0.024
-2.490E-14;1.804;0.025
-2.378E-14;1.884;0.024
-2.504E-14;1.956;0.025
-2.682E-14;2.030;0.027
-2.780E-14;2.083;0.028
-2.126E-14;2.153;0.021
-2.264E-14;2.265;0.023
-2.239E-14;2.377;0.022
-2.311E-14;2.493;0.023
-2.102E-14;2.601;0.021
-2.302E-14;2.756;0.023
-2.109E-14;2.985;0.021
-2.126E-14;3.194;0.021
-1.903E-14;3.350;0.019
-2.300E-14;3.454;0.023
-1.947E-14;3.577;0.019
-2.081E-14;3.705;0.021
-2.070E-14;3.829;0.021
-2.006E-14;3.991;0.020
-2.496E-14;4.159;0.025
-2.477E-14;4.238;0.025
-2.225E-14;4.272;0.022
-2.504E-14;4.282;0.025
-2.230E-14;4.300;0.022
-2.112E-14;4.413;0.021
-2.111E-14;4.589;0.021
-2.098E-14;4.761;0.021
-2.737E-14;4.895;0.027
-2.383E-14;4.978;0.024
-3.036E-14;5.059;0.030
-2.815E-14;5.164;0.028
-2.455E-14;5.277;0.025
-2.288E-14;5.382;0.023
-2.432E-14;5.535;0.024
-2.471E-14;5.701;0.025
-1.958E-14;5.851;0.020
-2.220E-14;5.961;0.022
-2.338E-14;6.042;0.023
-2.360E-14;6.171;0.024
-2.938E-14;6.294;0.029
-2.629E-14;6.407;0.026
-2.573E-14;6.513;0.026
-2.450E-14;6.639;0.024
-2.190E-14;6.738;0.022
-1.866E-14;6.821;0.019
-2.233E-14;6.924;0.022
-1.555E-14;7.011;0.016
-1.871E-14;7.094;0.019
-1.721E-14;7.154;0.017
-1.743E-14;7.233;0.017
-2.457E-14;7.276;0.025
-2.173E-14;7.295;0.022
-2.849E-14;7.302;0.028
-2.673E-14;7.312;0.027
-2.822E-14;7.369;0.028
-2.729E-14;7.475;0.027
-2.933E-14;7.587;0.029
-2.965E-14;7.714;0.030
-2.743E-14;7.823;0.027
-2.896E-14;7.936;0.029
-2.585E-14;8.038;0.026
-3.158E-14;8.115;0.032
-2.616E-14;8.142;0.026
-2.773E-14;8.163;0.028
-2.457E-14;8.172;0.025
-2.452E-14;8.175;0.025
-2.219E-14;8.175;0.022
-2.390E-14;8.177;0.024
-2.612E-14;8.187;0.026
-2.606E-14;8.193;0.026
-2.393E-14;8.193;0.024
-2.599E-14;8.215;0.026
-2.959E-14;8.252;0.030
-2.955E-14;8.293;0.030
-2.816E-14;8.316;0.028
-3.141E-14;8.324;0.031
-3.245E-14;8.329;0.032
-2.800E-14;8.332;0.028
-2.723E-14;8.342;0.027
-2.388E-14;8.380;0.024
-2.212E-14;8.404;0.022
