"Current (A) Run #31","Voltage (V) Run #31","Electron current (pA) Run #31"
-6.373E-14,0.057,0.064
-5.848E-14,0.051,0.058
-6.248E-14,0.050,0.062
-6.479E-14,0.052,0.065
-6.476E-14,0.048,0.065
-7.035E-14,0.052,0.070
-6.798E-14,0.048,0.068
-7.035E-14,0.055,0.070
-6.827E-14,0.049,0.068
-6.669E-14,0.052,0.067
-6.829E-14,0.050,0.068
-6.129E-14,0.051,0.061
-6.416E-14,0.052,0.064
-6.366E-14,0.073,0.064
-6.559E-14,0.125,0.066
-6.661E-14,0.205,0.067
-6.685E-14,0.302,0.067
-6.749E-14,0.401,0.067
-7.032E-14,0.468,0.070
-7.196E-14,0.480,0.072
-6.970E-14,0.486,0.070
-6.849E-14,0.499,0.068
-6.586E-14,0.589,0.066
-6.691E-14,0.718,0.067
-7.042E-14,0.842,0.070
-6.902E-14,0.914,0.069
-6.656E-14,0.933,0.067
-6.344E-14,0.943,0.063
-6.427E-14,0.992,0.064
-6.211E-14,1.077,0.062
-6.742E-14,1.171,0.067
-6.832E-14,1.261,0.068
-6.979E-14,1.296,0.070
-7.007E-14,1.317,0.070
-6.693E-14,1.333,0.067
-6.852E-14,1.418,0.069
-6.890E-14,1.542,0.069
-7.181E-14,1.605,0.072
-6.656E-14,1.624,0.067
-6.284E-14,1.638,0.063
-6.353E-14,1.703,0.064
-7.024E-14,1.775,0.070
-7.054E-14,1.809,0.071
-6.636E-14,1.820,0.066
-6.676E-14,1.891,0.067
-6.735E-14,1.964,0.067
-6.823E-14,1.983,0.068
-6.738E-14,2.003,0.067
-7.070E-14,2.057,0.071
-6.826E-14,2.140,0.068
-6.694E-14,2.190,0.067
-6.863E-14,2.206,0.069
-7.184E-14,2.240,0.072
-7.024E-14,2.293,0.070
-7.128E-14,2.315,0.071
-7.058E-14,2.324,0.071
-6.838E-14,2.398,0.068
-6.388E-14,2.478,0.064
-6.786E-14,2.510,0.068
-6.592E-14,2.578,0.066
-6.863E-14,2.702,0.069
-7.129E-14,2.758,0.071
-7.366E-14,2.793,0.074
-7.009E-14,2.885,0.070
-7.190E-14,2.921,0.072
-7.103E-14,2.933,0.071
-6.820E-14,2.974,0.068
-6.699E-14,3.055,0.067
-7.028E-14,3.069,0.070
-6.609E-14,3.095,0.066
-6.973E-14,3.165,0.070
-6.833E-14,3.208,0.068
-7.197E-14,3.232,0.072
-6.737E-14,3.278,0.067
-7.207E-14,3.299,0.072
-7.469E-14,3.364,0.075
-7.614E-14,3.408,0.076
-7.822E-14,3.435,0.078
-8.120E-14,3.482,0.081
-7.798E-14,3.555,0.078
-7.811E-14,3.585,0.078
-8.135E-14,3.621,0.081
-7.480E-14,3.665,0.075
-7.542E-14,3.707,0.075
-7.588E-14,3.731,0.076
-7.538E-14,3.799,0.075
-7.363E-14,3.834,0.074
-8.068E-14,3.844,0.081
-7.676E-14,3.908,0.077
-7.354E-14,4.000,0.074
-6.881E-14,4.029,0.069
-6.963E-14,4.064,0.070
-7.222E-14,4.188,0.072
-7.258E-14,4.252,0.073
-7.133E-14,4.287,0.071
-7.285E-14,4.347,0.073
-7.321E-14,4.441,0.073
-7.753E-14,4.477,0.078
-7.147E-14,4.500,0.071
-7.217E-14,4.570,0.072
-7.228E-14,4.623,0.072
-6.967E-14,4.643,0.070
-7.122E-14,4.677,0.071
-6.953E-14,4.737,0.070
-6.993E-14,4.767,0.070
-7.064E-14,4.784,0.071
-7.216E-14,4.814,0.072
-7.087E-14,4.833,0.071
-7.133E-14,4.839,0.071
-7.386E-14,4.846,0.074
-7.218E-14,4.912,0.072
-7.567E-14,4.993,0.076
-7.294E-14,5.030,0.073
-7.678E-14,5.066,0.077
-7.423E-14,5.136,0.074
-7.388E-14,5.167,0.074
-7.406E-14,5.179,0.074
-7.415E-14,5.221,0.074
-6.854E-14,5.293,0.069
-6.572E-14,5.322,0.066
-6.906E-14,5.334,0.069
-7.439E-14,5.428,0.074
-7.010E-14,5.490,0.070
-7.158E-14,5.514,0.072
-7.191E-14,5.548,0.072
-7.174E-14,5.609,0.072
-6.997E-14,5.629,0.070
-6.862E-14,5.651,0.069
-6.976E-14,5.712,0.070
-6.410E-14,5.738,0.064
-6.736E-14,5.751,0.067
-6.725E-14,5.843,0.067
-7.218E-14,5.939,0.072
-7.103E-14,5.982,0.071
-7.335E-14,6.017,0.073
-7.194E-14,6.128,0.072
-7.189E-14,6.184,0.072
-7.257E-14,6.209,0.073
-7.283E-14,6.293,0.073
-7.083E-14,6.351,0.071
-6.852E-14,6.378,0.069
-6.892E-14,6.400,0.069
-6.320E-14,6.439,0.063
-6.627E-14,6.455,0.066
-6.776E-14,6.464,0.068
-6.722E-14,6.526,0.067
-6.262E-14,6.571,0.063
-6.849E-14,6.590,0.068
-6.506E-14,6.645,0.065
-6.276E-14,6.704,0.063
-6.407E-14,6.722,0.064
-5.958E-14,6.758,0.060
-6.455E-14,6.825,0.065
-6.097E-14,6.850,0.061
-5.796E-14,6.868,0.058
-5.309E-14,6.943,0.053
-5.625E-14,6.993,0.056
-5.896E-14,7.009,0.059
-6.047E-14,7.067,0.060
-6.071E-14,7.171,0.061
-5.649E-14,7.219,0.056
-5.685E-14,7.248,0.057
-6.040E-14,7.317,0.060
-5.632E-14,7.358,0.056
-5.446E-14,7.377,0.054
-5.704E-14,7.448,0.057
-5.908E-14,7.515,0.059
-6.185E-14,7.537,0.062
-6.315E-14,7.610,0.063
-6.252E-14,7.714,0.063
-6.097E-14,7.753,0.061
-5.916E-14,7.793,0.059
-5.767E-14,7.862,0.058
-5.691E-14,7.894,0.057
-6.276E-14,7.919,0.063
-5.984E-14,7.973,0.060
-6.189E-14,7.995,0.062
-5.885E-14,8.013,0.059
-6.023E-14,8.111,0.060
-5.621E-14,8.178,0.056
-5.472E-14,8.203,0.055
-5.294E-14,8.287,0.053
-5.918E-14,8.425,0.059
-5.695E-14,8.484,0.057
-5.869E-14,8.528,0.059
-5.657E-14,8.639,0.057
-5.680E-14,8.704,0.057
-5.940E-14,8.730,0.059
-6.023E-14,8.819,0.060
-5.726E-14,8.880,0.057
-5.898E-14,8.910,0.059
-5.804E-14,8.980,0.058
-5.643E-14,9.076,0.056
-6.017E-14,9.109,0.060
-5.607E-14,9.163,0.056
-5.822E-14,9.239,0.058
-5.406E-14,9.269,0.054
-5.260E-14,9.301,0.053
-5.366E-14,9.399,0.054
-5.502E-14,9.435,0.055
-5.930E-14,9.478,0.059
-6.040E-14,9.579,0.060
-6.044E-14,9.621,0.060
-6.246E-14,9.654,0.062
-5.927E-14,9.750,0.059
-6.237E-14,9.790,0.062
-6.365E-14,9.821,0.064
-6.069E-14,9.903,0.061
-6.327E-14,9.956,0.063
-6.191E-14,9.981,0.062
-6.525E-14,10.042,0.065
-6.051E-14,10.092,0.061
-5.956E-14,10.120,0.060
-5.675E-14,10.216,0.057
-5.659E-14,10.279,0.057
-5.631E-14,10.308,0.056
-6.104E-14,10.413,0.061
-6.084E-14,10.504,0.061
-6.199E-14,10.540,0.062
-5.789E-14,10.618,0.058
-5.842E-14,10.734,0.058
-6.053E-14,10.787,0.061
-6.277E-14,10.967,0.063
-6.600E-14,11.152,0.066
-6.876E-14,11.234,0.069
-6.814E-14,11.430,0.068
-6.847E-14,11.604,0.068
-6.754E-14,11.700,0.068
-6.458E-14,11.898,0.065
-6.627E-14,12.008,0.066
-6.849E-14,12.139,0.068
-6.823E-14,12.339,0.068
-6.412E-14,12.428,0.064
-7.073E-14,12.465,0.071
-7.006E-14,12.490,0.070
-7.209E-14,12.510,0.072
-6.923E-14,12.569,0.069
-6.707E-14,12.620,0.067
-6.456E-14,12.662,0.065
-6.486E-14,12.761,0.065
-6.559E-14,12.853,0.066
-7.246E-14,12.885,0.072
-6.913E-14,12.910,0.069
-6.451E-14,12.961,0.065
-6.287E-14,13.082,0.063
-6.731E-14,13.160,0.067
-7.145E-14,13.185,0.071
-7.112E-14,13.244,0.071
-7.013E-14,13.366,0.070
-7.380E-14,13.419,0.074
-7.256E-14,13.444,0.073
-7.407E-14,13.518,0.074
-7.365E-14,13.632,0.074
-7.262E-14,13.688,0.073
-7.029E-14,13.717,0.070
-7.430E-14,13.804,0.074
-6.991E-14,13.867,0.070
-6.842E-14,13.880,0.068
-7.236E-14,13.938,0.072
-7.150E-14,14.065,0.071
-6.920E-14,14.115,0.069
-6.932E-14,14.152,0.069
-6.888E-14,14.231,0.069
-7.090E-14,14.267,0.071
-6.931E-14,14.302,0.069
-6.919E-14,14.438,0.069
-7.335E-14,14.538,0.073
-6.909E-14,14.583,0.069
-6.809E-14,14.778,0.068
-6.687E-14,14.934,0.067
-5.653E-14,15.022,0.057
-5.756E-14,15.232,0.058
-5.365E-14,15.381,0.054
-5.739E-14,15.446,0.057
-5.964E-14,15.636,0.060
-5.673E-14,15.814,0.057
-5.677E-14,15.880,0.057
-5.542E-14,16.000,0.055
-5.476E-14,16.097,0.055
-5.327E-14,16.131,0.053
-5.597E-14,16.265,0.056
-5.988E-14,16.406,0.060
-5.635E-14,16.445,0.056
-6.029E-14,16.534,0.060
-6.134E-14,16.708,0.061
-6.136E-14,16.777,0.061
-6.216E-14,16.885,0.062
-6.434E-14,17.003,0.064
-6.699E-14,17.051,0.067
-6.205E-14,17.124,0.062
-6.119E-14,17.250,0.061
-6.417E-14,17.302,0.064
-6.820E-14,17.380,0.068
-6.963E-14,17.504,0.070
-7.255E-14,17.553,0.073
-6.294E-14,17.587,0.063
-6.622E-14,17.727,0.066
-6.449E-14,17.828,0.064
-6.823E-14,17.870,0.068
-6.907E-14,17.946,0.069
-7.361E-14,18.017,0.074
-7.382E-14,18.042,0.074
-7.251E-14,18.160,0.073
-7.212E-14,18.281,0.072
-7.485E-14,18.323,0.075
-7.495E-14,18.435,0.075
-7.139E-14,18.548,0.071
-7.361E-14,18.591,0.074
-7.487E-14,18.675,0.075
-7.583E-14,18.732,0.076
-7.623E-14,18.774,0.076
-7.926E-14,18.889,0.079
-8.280E-14,18.943,0.083
-7.906E-14,18.983,0.079
-7.802E-14,19.051,0.078
-8.326E-14,19.089,0.083
-8.484E-14,19.115,0.085
-8.418E-14,19.238,0.084
-8.340E-14,19.327,0.083
-8.501E-14,19.364,0.085
-8.604E-14,19.460,0.086
-8.436E-14,19.544,0.084
-8.738E-14,19.579,0.087
-8.582E-14,19.693,0.086
-8.993E-14,19.755,0.090
-8.792E-14,19.799,0.088
-8.947E-14,19.879,0.089
-8.751E-14,19.899,0.088
-9.167E-14,19.939,0.092
-9.050E-14,20.103,0.091
-9.016E-14,20.191,0.090
-9.403E-14,20.270,0.094
-9.325E-14,20.399,0.093
-9.838E-14,20.456,0.098
-9.899E-14,20.628,0.099
-9.449E-14,20.838,0.094
-9.781E-14,20.917,0.098
-9.912E-14,20.995,0.099
-9.335E-14,21.129,0.093
-9.869E-14,21.191,0.099
-9.739E-14,21.275,0.097
-9.911E-14,21.361,0.099
