"Current (A) Run #29","Voltage (V) Run #29","Electron current (pA) Run #29"
-1.241E-14,0.059,0.012
-1.166E-14,0.063,0.012
-1.100E-14,0.063,0.011
-1.125E-14,0.061,0.011
-1.056E-14,0.058,0.011
-9.534E-15,0.059,0.010
-1.438E-14,0.059,0.014
-1.260E-14,0.059,0.013
-8.350E-15,0.057,0.008
-9.607E-15,0.062,0.010
-1.405E-14,0.059,0.014
-1.390E-14,0.060,0.014
-1.426E-14,0.058,0.014
-1.378E-14,0.059,0.014
-1.261E-14,0.058,0.013
-1.396E-14,0.058,0.014
-1.307E-14,0.080,0.013
-1.271E-14,0.106,0.013
-9.937E-15,0.183,0.010
-7.251E-15,0.242,0.007
-9.290E-15,0.278,0.009
-1.387E-14,0.297,0.014
-9.143E-15,0.346,0.009
-1.381E-14,0.418,0.014
-8.533E-15,0.488,0.009
-9.521E-15,0.520,0.010
-1.259E-14,0.546,0.013
-1.198E-14,0.556,0.012
-9.058E-15,0.573,0.009
-8.789E-15,0.600,0.009
-8.911E-15,0.634,0.009
-1.595E-14,0.650,0.016
-1.244E-14,0.665,0.012
-1.411E-14,0.701,0.014
-1.611E-14,0.735,0.016
-1.191E-14,0.783,0.012
-1.432E-14,0.831,0.014
-1.241E-14,0.873,0.012
-1.465E-14,0.886,0.015
-1.664E-14,0.909,0.017
-1.494E-14,0.919,0.015
-1.313E-14,0.922,0.013
-1.165E-14,0.936,0.012
-1.112E-14,0.954,0.011
-1.033E-14,0.969,0.010
-8.752E-15,1.004,0.009
-4.321E-15,1.035,0.004
-1.091E-14,1.052,0.011
-1.144E-14,1.085,0.011
-8.679E-15,1.124,0.009
-7.581E-15,1.160,0.008
-5.908E-15,1.209,0.006
-1.094E-14,1.288,0.011
-7.898E-15,1.363,0.008
-6.848E-15,1.434,0.007
-8.936E-15,1.511,0.009
-1.012E-14,1.566,0.010
-1.431E-14,1.627,0.014
-1.584E-14,1.684,0.016
-1.276E-14,1.735,0.013
-1.993E-14,1.795,0.020
-2.034E-14,1.859,0.020
-1.993E-14,1.919,0.020
-2.172E-14,1.966,0.022
-2.048E-14,2.011,0.020
-2.054E-14,2.057,0.021
-2.014E-14,2.088,0.020
-2.031E-14,2.105,0.020
-2.878E-14,2.131,0.029
-2.568E-14,2.171,0.026
-2.596E-14,2.201,0.026
-2.462E-14,2.212,0.025
-2.424E-14,2.227,0.024
-2.698E-14,2.242,0.027
-2.340E-14,2.253,0.023
-2.737E-14,2.258,0.027
-2.385E-14,2.270,0.024
-2.465E-14,2.285,0.025
-2.853E-14,2.298,0.029
-2.933E-14,2.309,0.029
-2.841E-14,2.322,0.028
-3.180E-14,2.347,0.032
-3.242E-14,2.361,0.032
-2.931E-14,2.376,0.029
-3.387E-14,2.392,0.034
-2.871E-14,2.405,0.029
-2.823E-14,2.409,0.028
-2.837E-14,2.411,0.028
-2.373E-14,2.419,0.024
-2.510E-14,2.431,0.025
-2.897E-14,2.439,0.029
-2.891E-14,2.442,0.029
-2.765E-14,2.447,0.028
-2.532E-14,2.454,0.025
-2.712E-14,2.461,0.027
-2.562E-14,2.466,0.026
-2.551E-14,2.473,0.026
-2.384E-14,2.491,0.024
-2.874E-14,2.511,0.029
-2.651E-14,2.536,0.027
-2.935E-14,2.565,0.029
-2.869E-14,2.593,0.029
-2.866E-14,2.638,0.029
-3.213E-14,2.649,0.032
-2.986E-14,2.664,0.030
-2.971E-14,2.687,0.030
-3.188E-14,2.704,0.032
-2.975E-14,2.721,0.030
-3.450E-14,2.733,0.034
-3.081E-14,2.752,0.031
-3.383E-14,2.775,0.034
-2.957E-14,2.785,0.030
-2.959E-14,2.795,0.030
-2.900E-14,2.840,0.029
-2.582E-14,2.875,0.026
-2.513E-14,2.901,0.025
-2.684E-14,2.932,0.027
-2.593E-14,2.957,0.026
-2.466E-14,2.973,0.025
-2.302E-14,2.994,0.023
-2.297E-14,3.000,0.023
-2.050E-14,3.036,0.020
-2.236E-14,3.039,0.022
-2.471E-14,3.055,0.025
-2.617E-14,3.078,0.026
-2.120E-14,3.082,0.021
-2.362E-14,3.101,0.024
-2.133E-14,3.124,0.021
-2.150E-14,3.141,0.021
-2.036E-14,3.147,0.020
-2.402E-14,3.142,0.024
-2.538E-14,3.151,0.025
-2.473E-14,3.149,0.025
-2.534E-14,3.156,0.025
-2.697E-14,3.172,0.027
-2.789E-14,3.183,0.028
-2.418E-14,3.193,0.024
-2.106E-14,3.218,0.021
-2.482E-14,3.253,0.025
-2.496E-14,3.273,0.025
-2.054E-14,3.278,0.021
-1.752E-14,3.287,0.018
-2.150E-14,3.308,0.021
-1.884E-14,3.341,0.019
-1.809E-14,3.366,0.018
-2.091E-14,3.389,0.021
-2.007E-14,3.418,0.020
-2.109E-14,3.448,0.021
-2.434E-14,3.493,0.024
-2.523E-14,3.548,0.025
-2.534E-14,3.616,0.025
-2.365E-14,3.678,0.024
-2.275E-14,3.740,0.023
-2.393E-14,3.780,0.024
-2.333E-14,3.842,0.023
-2.444E-14,3.883,0.024
-2.281E-14,3.899,0.023
