Current (A) Run #16;Voltage (V) Run #16;Electron current (pA) Run #16
2.125E-14;0.256;-0.021
2.490E-14;0.253;-0.025
2.170E-14;0.254;-0.022
1.818E-14;0.249;-0.018
2.218E-14;0.247;-0.022
2.643E-14;0.246;-0.026
2.646E-14;0.243;-0.026
2.662E-14;0.245;-0.027
2.560E-14;0.243;-0.026
2.839E-14;0.238;-0.028
2.450E-14;0.236;-0.024
2.594E-14;0.233;-0.026
2.609E-14;0.233;-0.026
2.123E-14;0.231;-0.021
1.770E-14;0.227;-0.018
1.936E-14;0.229;-0.019
2.211E-14;0.225;-0.022
2.148E-14;0.230;-0.021
2.228E-14;0.237;-0.022
2.579E-14;0.226;-0.026
2.642E-14;0.221;-0.026
2.567E-14;0.222;-0.026
2.672E-14;0.216;-0.027
1.978E-14;0.218;-0.020
2.291E-14;0.215;-0.023
2.247E-14;0.213;-0.022
2.649E-14;0.212;-0.026
2.695E-14;0.217;-0.027
2.393E-14;0.210;-0.024
2.340E-14;0.208;-0.023
2.416E-14;0.207;-0.024
1.816E-14;0.206;-0.018
2.212E-14;0.205;-0.022
2.343E-14;0.204;-0.023
2.759E-14;0.203;-0.028
2.831E-14;0.199;-0.028
2.467E-14;0.199;-0.025
2.385E-14;0.200;-0.024
2.655E-14;0.198;-0.027
2.469E-14;0.197;-0.025
2.463E-14;0.194;-0.025
2.823E-14;0.195;-0.028
2.385E-14;0.194;-0.024
2.548E-14;0.193;-0.025
2.051E-14;0.192;-0.021
1.964E-14;0.190;-0.020
2.170E-14;0.190;-0.022
1.860E-14;0.187;-0.019
2.028E-14;0.180;-0.020
1.414E-14;0.187;-0.014
1.973E-14;0.186;-0.020
2.122E-14;0.184;-0.021
2.371E-14;0.186;-0.024
2.736E-14;0.184;-0.027
2.662E-14;0.182;-0.027
2.389E-14;0.182;-0.024
2.534E-14;0.178;-0.025
2.104E-14;0.181;-0.021
2.216E-14;0.174;-0.022
2.249E-14;0.180;-0.022
1.537E-14;0.179;-0.015
1.747E-14;0.210;-0.017
1.805E-14;0.322;-0.018
1.688E-14;0.441;-0.017
2.318E-14;0.589;-0.023
2.363E-14;0.691;-0.024
2.036E-14;0.746;-0.020
2.179E-14;0.808;-0.022
2.029E-14;0.856;-0.020
1.604E-14;0.886;-0.016
1.948E-14;0.906;-0.019
1.992E-14;0.915;-0.020
1.805E-14;0.912;-0.018
2.004E-14;0.936;-0.020
1.713E-14;0.943;-0.017
1.615E-14;0.950;-0.016
1.650E-14;0.950;-0.017
2.103E-14;0.965;-0.021
1.669E-14;0.980;-0.017
1.882E-14;1.006;-0.019
1.685E-14;1.031;-0.017
1.104E-14;1.068;-0.011
1.415E-14;1.107;-0.014
1.367E-14;1.141;-0.014
1.497E-14;1.170;-0.015
1.255E-14;1.217;-0.013
1.451E-14;1.250;-0.015
1.641E-14;1.267;-0.016
1.404E-14;1.279;-0.014
1.564E-14;1.303;-0.016
1.223E-14;1.320;-0.012
1.306E-14;1.370;-0.013
1.417E-14;1.436;-0.014
1.564E-14;1.520;-0.016
1.636E-14;1.591;-0.016
1.238E-14;1.690;-0.012
1.720E-14;1.790;-0.017
1.572E-14;1.890;-0.016
1.078E-14;2.002;-0.011
1.481E-14;2.106;-0.015
1.863E-14;2.201;-0.019
1.611E-14;2.319;-0.016
1.368E-14;2.414;-0.014
1.617E-14;2.502;-0.016
1.516E-14;2.588;-0.015
1.533E-14;2.670;-0.015
1.554E-14;2.752;-0.016
1.324E-14;2.848;-0.013
9.119E-15;2.926;-0.009
1.301E-14;3.001;-0.013
7.629E-15;3.061;-0.008
1.450E-14;3.137;-0.015
1.234E-14;3.239;-0.012
1.558E-14;3.333;-0.016
1.260E-14;3.410;-0.013
1.189E-14;3.481;-0.012
1.169E-14;3.547;-0.012
1.384E-14;3.621;-0.014
1.483E-14;3.716;-0.015
2.119E-14;3.802;-0.021
2.073E-14;3.864;-0.021
2.421E-14;3.914;-0.024
1.941E-14;3.970;-0.019
1.738E-14;4.012;-0.017
1.963E-14;4.087;-0.020
1.896E-14;4.166;-0.019
1.384E-14;4.238;-0.014
9.033E-15;4.301;-0.009
4.956E-15;4.375;-0.005
3.125E-15;4.446;-0.003
-4.761E-15;4.508;0.005
-9.351E-15;4.541;0.009
-3.259E-15;4.557;0.003
-8.386E-15;4.562;0.008
-2.942E-15;4.559;0.003
-4.382E-15;4.568;0.004
-5.042E-15;4.567;0.005
-5.725E-15;4.566;0.006
-2.734E-15;4.565;0.003
9.766E-16;4.563;-9.766E-4
-3.430E-15;4.567;0.003
-3.210E-15;4.566;0.003
-4.956E-15;4.566;0.005
-9.583E-15;4.565;0.010
-3.320E-15;4.566;0.003
-3.943E-15;4.565;0.004
-4.126E-15;4.566;0.004
-1.807E-15;4.568;0.002
-1.978E-15;4.565;0.002
-2.869E-15;4.577;0.003
3.894E-15;4.697;-0.004
2.209E-15;4.977;-0.002
2.197E-16;5.249;-2.197E-4
-3.418E-15;5.456;0.003
-2.197E-15;5.617;0.002
-4.834E-15;5.747;0.005
-2.185E-15;5.864;0.002
-2.283E-15;5.945;0.002
-3.284E-15;6.006;0.003
-3.064E-15;6.069;0.003
-4.077E-15;6.110;0.004
-2.234E-15;6.130;0.002
-7.739E-15;6.139;0.008
-8.838E-15;6.139;0.009
-7.581E-15;6.144;0.008
-7.751E-15;6.146;0.008
-3.699E-15;6.144;0.004
-8.948E-15;6.145;0.009
-9.216E-15;6.144;0.009
