"Date and Time Run #23","Time (s) Run #23","Current (A) Run #23","Voltage (V) Run #23","Electron current (pA) Run #23"
02/02/2026 04:38:34 pm,0.000,4.325E-14,0.067,-0.043
02/02/2026 04:38:34 pm,0.100,4.630E-14,0.068,-0.046
02/02/2026 04:38:34 pm,0.200,5.155E-14,0.068,-0.052
02/02/2026 04:38:34 pm,0.300,5.135E-14,0.068,-0.051
02/02/2026 04:38:34 pm,0.400,5.225E-14,0.065,-0.052
02/02/2026 04:38:34 pm,0.500,5.159E-14,0.071,-0.052
02/02/2026 04:38:34 pm,0.600,5.148E-14,0.067,-0.051
02/02/2026 04:38:34 pm,0.700,5.076E-14,0.210,-0.051
02/02/2026 04:38:34 pm,0.800,4.510E-14,0.614,-0.045
02/02/2026 04:38:34 pm,0.900,4.254E-14,0.819,-0.043
02/02/2026 04:38:35 pm,1.000,4.579E-14,0.886,-0.046
02/02/2026 04:38:35 pm,1.100,4.625E-14,1.037,-0.046
02/02/2026 04:38:35 pm,1.200,4.534E-14,1.416,-0.045
02/02/2026 04:38:35 pm,1.300,4.937E-14,1.614,-0.049
02/02/2026 04:38:35 pm,1.400,4.867E-14,1.680,-0.049
02/02/2026 04:38:35 pm,1.500,4.587E-14,1.780,-0.046
02/02/2026 04:38:35 pm,1.600,4.685E-14,1.955,-0.047
02/02/2026 04:38:35 pm,1.700,4.778E-14,2.041,-0.048
02/02/2026 04:38:35 pm,1.800,4.664E-14,2.077,-0.047
02/02/2026 04:38:35 pm,1.900,4.640E-14,2.226,-0.046
02/02/2026 04:38:36 pm,2.000,4.553E-14,2.432,-0.046
02/02/2026 04:38:36 pm,2.100,4.603E-14,2.521,-0.046
02/02/2026 04:38:36 pm,2.200,4.590E-14,2.566,-0.046
02/02/2026 04:38:36 pm,2.300,4.618E-14,2.745,-0.046
02/02/2026 04:38:36 pm,2.400,4.495E-14,2.976,-0.045
02/02/2026 04:38:36 pm,2.500,4.633E-14,3.073,-0.046
02/02/2026 04:38:36 pm,2.600,4.576E-14,3.124,-0.046
02/02/2026 04:38:36 pm,2.700,4.474E-14,3.310,-0.045
02/02/2026 04:38:36 pm,2.800,4.426E-14,3.543,-0.044
02/02/2026 04:38:36 pm,2.900,4.614E-14,3.641,-0.046
02/02/2026 04:38:37 pm,3.000,4.426E-14,3.704,-0.044
02/02/2026 04:38:37 pm,3.100,4.219E-14,3.904,-0.042
02/02/2026 04:38:37 pm,3.200,4.470E-14,4.083,-0.045
02/02/2026 04:38:37 pm,3.300,3.975E-14,4.160,-0.040
02/02/2026 04:38:37 pm,3.400,4.458E-14,4.242,-0.045
02/02/2026 04:38:37 pm,3.500,4.342E-14,4.497,-0.043
02/02/2026 04:38:37 pm,3.600,4.644E-14,4.653,-0.046
02/02/2026 04:38:37 pm,3.700,4.348E-14,4.714,-0.043
02/02/2026 04:38:37 pm,3.800,4.347E-14,4.796,-0.043
02/02/2026 04:38:37 pm,3.900,4.001E-14,4.944,-0.040
02/02/2026 04:38:38 pm,4.000,4.071E-14,5.007,-0.041
02/02/2026 04:38:38 pm,4.100,4.147E-14,5.035,-0.041
02/02/2026 04:38:38 pm,4.200,4.598E-14,5.061,-0.046
02/02/2026 04:38:38 pm,4.300,4.126E-14,5.160,-0.041
02/02/2026 04:38:38 pm,4.400,4.421E-14,5.210,-0.044
02/02/2026 04:38:38 pm,4.500,4.567E-14,5.228,-0.046
02/02/2026 04:38:38 pm,4.600,4.276E-14,5.271,-0.043
02/02/2026 04:38:38 pm,4.700,4.904E-14,5.361,-0.049
02/02/2026 04:38:38 pm,4.800,4.308E-14,5.412,-0.043
02/02/2026 04:38:38 pm,4.900,4.259E-14,5.430,-0.043
02/02/2026 04:38:39 pm,5.000,4.193E-14,5.500,-0.042
02/02/2026 04:38:39 pm,5.100,3.989E-14,5.596,-0.040
02/02/2026 04:38:39 pm,5.200,3.712E-14,5.634,-0.037
02/02/2026 04:38:39 pm,5.300,3.727E-14,5.653,-0.037
02/02/2026 04:38:39 pm,5.400,3.369E-14,5.739,-0.034
02/02/2026 04:38:39 pm,5.500,3.597E-14,5.887,-0.036
02/02/2026 04:38:39 pm,5.600,3.643E-14,5.961,-0.036
02/02/2026 04:38:39 pm,5.700,3.267E-14,5.982,-0.033
02/02/2026 04:38:39 pm,5.800,3.420E-14,5.998,-0.034
02/02/2026 04:38:39 pm,5.900,3.538E-14,6.003,-0.035
02/02/2026 04:38:40 pm,6.000,3.584E-14,6.002,-0.036
02/02/2026 04:38:40 pm,6.100,3.003E-14,6.001,-0.030
02/02/2026 04:38:40 pm,6.200,3.950E-14,5.996,-0.040
02/02/2026 04:38:40 pm,6.300,4.073E-14,6.004,-0.041
02/02/2026 04:38:40 pm,6.400,4.025E-14,6.012,-0.040
02/02/2026 04:38:40 pm,6.500,3.684E-14,6.006,-0.037
02/02/2026 04:38:40 pm,6.600,4.119E-14,6.111,-0.041
02/02/2026 04:38:40 pm,6.700,4.341E-14,6.248,-0.043
02/02/2026 04:38:40 pm,6.800,3.768E-14,6.299,-0.038
02/02/2026 04:38:40 pm,6.900,3.746E-14,6.319,-0.037
02/02/2026 04:38:41 pm,7.000,3.889E-14,6.369,-0.039
02/02/2026 04:38:41 pm,7.100,4.116E-14,6.424,-0.041
02/02/2026 04:38:41 pm,7.200,4.279E-14,6.449,-0.043
