"Current (A) Run #32","Voltage (V) Run #32","Electron current (pA) Run #32"
2.251E-14,0.607,-0.023
2.540E-14,0.596,-0.025
2.474E-14,0.591,-0.025
1.558E-14,0.579,-0.016
1.995E-14,0.571,-0.020
2.014E-14,0.563,-0.020
1.940E-14,0.569,-0.019
1.984E-14,0.622,-0.020
2.312E-14,0.638,-0.023
2.648E-14,0.731,-0.026
2.374E-14,0.956,-0.024
2.429E-14,1.058,-0.024
2.040E-14,1.176,-0.020
2.317E-14,1.452,-0.023
2.601E-14,1.589,-0.026
2.405E-14,1.775,-0.024
2.384E-14,2.092,-0.024
2.483E-14,2.223,-0.025
2.623E-14,2.398,-0.026
2.428E-14,2.562,-0.024
2.313E-14,2.644,-0.023
2.527E-14,2.929,-0.025
3.026E-14,3.150,-0.030
2.573E-14,3.278,-0.026
2.561E-14,3.529,-0.026
2.444E-14,3.670,-0.024
2.238E-14,3.805,-0.022
2.173E-14,4.063,-0.022
2.452E-14,4.185,-0.025
2.169E-14,4.333,-0.022
2.428E-14,4.452,-0.024
2.590E-14,4.499,-0.026
2.399E-14,4.641,-0.024
2.711E-14,4.766,-0.027
2.128E-14,4.840,-0.021
2.456E-14,4.988,-0.025
2.147E-14,5.108,-0.021
2.694E-14,5.158,-0.027
2.416E-14,5.285,-0.024
1.761E-14,5.411,-0.018
2.327E-14,5.468,-0.023
2.305E-14,5.633,-0.023
1.809E-14,5.762,-0.018
2.092E-14,5.832,-0.021
1.906E-14,5.991,-0.019
2.224E-14,6.078,-0.022
2.048E-14,6.187,-0.020
2.334E-14,6.353,-0.023
2.493E-14,6.426,-0.025
2.322E-14,6.597,-0.023
2.319E-14,6.751,-0.023
2.858E-14,6.852,-0.029
2.814E-14,7.013,-0.028
2.657E-14,7.088,-0.027
2.532E-14,7.195,-0.025
2.357E-14,7.338,-0.024
2.225E-14,7.402,-0.022
2.386E-14,7.522,-0.024
2.196E-14,7.623,-0.022
2.719E-14,7.664,-0.027
2.434E-14,7.763,-0.024
2.102E-14,7.883,-0.021
2.354E-14,7.939,-0.024
2.440E-14,8.053,-0.024
2.303E-14,8.142,-0.023
2.534E-14,8.189,-0.025
2.487E-14,8.313,-0.025
3.040E-14,8.394,-0.030
3.344E-14,8.448,-0.033
3.215E-14,8.569,-0.032
3.112E-14,8.633,-0.031
3.107E-14,8.688,-0.031
2.838E-14,8.813,-0.028
2.277E-14,8.867,-0.023
2.373E-14,8.928,-0.024
2.336E-14,9.044,-0.023
2.653E-14,9.082,-0.027
2.461E-14,9.187,-0.025
2.405E-14,9.293,-0.024
1.919E-14,9.351,-0.019
2.234E-14,9.500,-0.022
2.356E-14,9.588,-0.024
2.354E-14,9.728,-0.024
2.472E-14,9.918,-0.025
1.943E-14,10.004,-0.019
2.140E-14,10.162,-0.021
2.113E-14,10.277,-0.021
2.362E-14,10.340,-0.024
2.279E-14,10.458,-0.023
2.537E-14,10.518,-0.025
2.814E-14,10.598,-0.028
2.905E-14,10.697,-0.029
2.484E-14,10.743,-0.025
2.444E-14,10.844,-0.024
1.930E-14,10.958,-0.019
1.852E-14,10.993,-0.019
1.851E-14,11.095,-0.019
2.191E-14,11.218,-0.022
1.986E-14,11.275,-0.020
2.067E-14,11.394,-0.021
2.573E-14,11.447,-0.026
2.242E-14,11.528,-0.022
2.422E-14,11.660,-0.024
2.711E-14,11.716,-0.027
2.405E-14,11.804,-0.024
1.990E-14,11.902,-0.020
1.763E-14,11.939,-0.018
2.002E-14,12.035,-0.020
1.583E-14,12.149,-0.016
1.853E-14,12.209,-0.019
1.666E-14,12.359,-0.017
1.724E-14,12.458,-0.017
1.611E-14,12.548,-0.016
1.707E-14,12.700,-0.017
1.753E-14,12.776,-0.018
1.475E-14,12.886,-0.015
7.166E-15,13.031,-0.007
-1.868E-15,13.102,0.002
-6.982E-15,13.248,0.007
-9.802E-15,13.370,0.010
-1.105E-14,13.429,0.011
-1.890E-14,13.566,0.019
-2.255E-14,13.656,0.023
-2.529E-14,13.744,0.025
-2.764E-14,13.981,0.028
-3.110E-14,14.123,0.031
-2.938E-14,14.231,0.029
-3.279E-14,14.397,0.033
-3.572E-14,14.473,0.036
-3.944E-14,14.580,0.039
-4.592E-14,14.718,0.046
-4.741E-14,14.783,0.047
-5.115E-14,14.893,0.051
-5.189E-14,15.008,0.052
-6.151E-14,15.046,0.062
-6.279E-14,15.136,0.063
-6.860E-14,15.253,0.069
-7.153E-14,15.307,0.072
-7.296E-14,15.395,0.073
-7.489E-14,15.470,0.075
-7.794E-14,15.508,0.078
-7.914E-14,15.616,0.079
-8.196E-14,15.710,0.082
-8.430E-14,15.754,0.084
-9.042E-14,15.862,0.090
-8.914E-14,15.947,0.089
-9.208E-14,15.991,0.092
-1.027E-13,16.108,0.103
-9.834E-14,16.170,0.098
