"Current (A) Run #33","Voltage (V) Run #33","Electron current (pA) Run #33"
-2.670E-14,0.356,0.027
-2.460E-14,0.352,0.025
-2.401E-14,0.346,0.024
-2.198E-14,0.346,0.022
-2.734E-14,0.339,0.027
-2.587E-14,0.332,0.026
-2.460E-14,0.329,0.025
-2.239E-14,0.324,0.022
-2.201E-14,0.319,0.022
-2.709E-14,0.329,0.027
-2.714E-14,0.390,0.027
-2.955E-14,0.471,0.030
-2.968E-14,0.549,0.030
-2.902E-14,0.657,0.029
-2.744E-14,0.759,0.027
-2.493E-14,0.863,0.025
-2.675E-14,0.939,0.027
-2.314E-14,1.003,0.023
-2.645E-14,1.064,0.026
-2.664E-14,1.120,0.027
-3.038E-14,1.130,0.030
-2.834E-14,1.122,0.028
-2.603E-14,1.102,0.026
-2.726E-14,1.090,0.027
-2.805E-14,1.101,0.028
-2.933E-14,1.177,0.029
-3.074E-14,1.349,0.031
-3.213E-14,1.599,0.032
-3.251E-14,1.729,0.033
-3.046E-14,1.748,0.030
-3.469E-14,1.855,0.035
-3.307E-14,2.036,0.033
-3.619E-14,2.094,0.036
-3.695E-14,2.157,0.037
-3.477E-14,2.333,0.035
-3.605E-14,2.402,0.036
-3.817E-14,2.504,0.038
-3.903E-14,2.685,0.039
-3.915E-14,2.763,0.039
-4.088E-14,2.915,0.041
-3.970E-14,3.101,0.040
-3.782E-14,3.197,0.038
-4.027E-14,3.426,0.040
-4.143E-14,3.587,0.041
-3.671E-14,3.733,0.037
-3.583E-14,4.040,0.036
-3.485E-14,4.195,0.035
-3.325E-14,4.270,0.033
-3.445E-14,4.514,0.034
-2.759E-14,4.718,0.028
-3.082E-14,4.808,0.031
-3.755E-14,4.976,0.038
-3.274E-14,5.122,0.033
-3.724E-14,5.195,0.037
-3.826E-14,5.341,0.038
-3.287E-14,5.465,0.033
-3.285E-14,5.521,0.033
-3.643E-14,5.692,0.036
-3.224E-14,5.802,0.032
-3.561E-14,5.864,0.036
-3.513E-14,5.978,0.035
-3.741E-14,6.048,0.037
-3.544E-14,6.104,0.035
-3.431E-14,6.325,0.034
-3.401E-14,6.461,0.034
-3.549E-14,6.527,0.035
-3.679E-14,6.658,0.037
-3.562E-14,6.723,0.036
-3.960E-14,6.739,0.040
-4.020E-14,6.847,0.040
-3.840E-14,6.930,0.038
-3.506E-14,6.977,0.035
-4.012E-14,7.114,0.040
-3.638E-14,7.205,0.036
-3.522E-14,7.304,0.035
-3.474E-14,7.513,0.035
-3.495E-14,7.620,0.035
-3.489E-14,7.776,0.035
-3.069E-14,7.963,0.031
-3.651E-14,8.055,0.037
-3.461E-14,8.337,0.035
-3.652E-14,8.581,0.037
-3.783E-14,8.727,0.038
-3.490E-14,8.944,0.035
-3.878E-14,9.052,0.039
-4.397E-14,9.165,0.044
-3.658E-14,9.368,0.037
-3.368E-14,9.461,0.034
-3.708E-14,9.604,0.037
-3.820E-14,9.809,0.038
-3.595E-14,9.896,0.036
-3.217E-14,10.023,0.032
-2.775E-14,10.118,0.028
-3.243E-14,10.143,0.032
-3.149E-14,10.273,0.031
-3.220E-14,10.379,0.032
-3.357E-14,10.475,0.034
-3.752E-14,10.655,0.038
-4.159E-14,10.743,0.042
-4.180E-14,10.923,0.042
-4.388E-14,11.073,0.044
-4.774E-14,11.177,0.048
-6.106E-14,11.344,0.061
-6.877E-14,11.425,0.069
-8.503E-14,11.601,0.085
-1.121E-13,11.757,0.112
-1.460E-13,11.857,0.146
-1.859E-13,12.101,0.186
-2.469E-13,12.261,0.247
-3.265E-13,12.351,0.326
-4.134E-13,12.446,0.413
-5.007E-13,12.478,0.501
-5.844E-13,12.534,0.584
-6.527E-13,12.612,0.653
-7.255E-13,12.639,0.725
-7.905E-13,12.646,0.790
-8.436E-13,12.720,0.844
-8.957E-13,12.821,0.896
-9.610E-13,12.952,0.961
-1.064E-12,13.028,1.064
-1.188E-12,13.054,1.188
-1.300E-12,13.073,1.300
-1.401E-12,13.145,1.401
-1.497E-12,13.268,1.497
-1.623E-12,13.349,1.623
-1.762E-12,13.395,1.762
-1.911E-12,13.440,1.911
-2.048E-12,13.457,2.048
-2.157E-12,13.464,2.157
-2.243E-12,13.467,2.243
-2.301E-12,13.499,2.301
-2.357E-12,13.547,2.357
-2.417E-12,13.591,2.417
-2.494E-12,13.635,2.494
-2.583E-12,13.673,2.583
-2.683E-12,13.683,2.683
-2.777E-12,13.693,2.777
-2.854E-12,13.713,2.854
-2.913E-12,13.768,2.913
-2.983E-12,13.835,2.983
-3.073E-12,13.905,3.073
-3.203E-12,13.932,3.203
-3.341E-12,13.940,3.341
-3.473E-12,13.946,3.473
-3.566E-12,13.944,3.566
-3.630E-12,13.954,3.630
-3.674E-12,13.991,3.674
-3.724E-12,14.062,3.724
-3.817E-12,14.146,3.817
-3.960E-12,14.170,3.960
-4.112E-12,14.172,4.112
-4.249E-12,14.175,4.249
-4.350E-12,14.177,4.350
-4.414E-12,14.202,4.414
-4.458E-12,14.228,4.458
-4.525E-12,14.301,4.525
-4.622E-12,14.376,4.622
-4.774E-12,14.484,4.774
-5.008E-12,14.601,5.008
-5.340E-12,14.655,5.340
-5.711E-12,14.676,5.711
-6.023E-12,14.683,6.023
-6.258E-12,14.687,6.258
-6.420E-12,14.687,6.420
-6.518E-12,14.722,6.518
-6.600E-12,14.796,6.600
-6.732E-12,14.849,6.732
-6.908E-12,14.865,6.908
-7.095E-12,14.877,7.095
-7.264E-12,14.876,7.264
-7.388E-12,14.889,7.388
-7.482E-12,14.950,7.482
-7.588E-12,15.061,7.588
-7.804E-12,15.108,7.804
-8.079E-12,15.130,8.079
-8.351E-12,15.138,8.351
-8.579E-12,15.138,8.579
-8.733E-12,15.141,8.733
-8.826E-12,15.155,8.826
-8.887E-12,15.203,8.887
-8.970E-12,15.228,8.970
-9.088E-12,15.281,9.088
-9.256E-12,15.344,9.256
-9.480E-12,15.370,9.480
-9.720E-12,15.384,9.720
-9.920E-12,15.388,9.920
-1.006E-11,15.388,10.064
-1.016E-11,15.392,10.161
-1.022E-11,15.393,10.218
-1.024E-11,15.396,10.241
-1.025E-11,15.396,10.254
-1.026E-11,15.395,10.256
-1.026E-11,15.416,10.255
-1.026E-11,15.427,10.262
-1.029E-11,15.441,10.291
-1.033E-11,15.448,10.333
-1.038E-11,15.470,10.377
-1.041E-11,15.459,10.409
-1.043E-11,15.471,10.434
-1.046E-11,15.507,10.464
-1.052E-11,15.554,10.523
-1.064E-11,15.604,10.641
-1.080E-11,15.628,10.801
-1.099E-11,15.635,10.994
-1.117E-11,15.638,11.174
-1.131E-11,15.644,11.313
-1.140E-11,15.674,11.396
-1.148E-11,15.761,11.478
-1.163E-11,15.849,11.628
-1.189E-11,15.884,11.892
-1.221E-11,15.898,12.209
-1.250E-11,15.903,12.501
-1.273E-11,15.906,12.731
-1.287E-11,15.890,12.875
-1.296E-11,15.908,12.956
-1.299E-11,15.909,12.990
-1.299E-11,15.907,12.994
-1.299E-11,15.939,12.989
-1.302E-11,15.991,13.024
-1.312E-11,16.010,13.121
-1.327E-11,16.021,13.267
-1.340E-11,16.033,13.399
-1.351E-11,16.052,13.512
-1.361E-11,16.057,13.607
-1.368E-11,16.062,13.682
-1.374E-11,16.063,13.737
-1.377E-11,16.065,13.770
-1.379E-11,16.101,13.787
-1.383E-11,16.156,13.828
-1.394E-11,16.231,13.941
-1.415E-11,16.269,14.147
